"title","president","year","count","matched","perPositive","perNegative","positiveWords","negativeWords","sentimentScore"
"Trump's First Inagural","Donald Trump","2017",1455,352,0.07766323024054983,0.024054982817869417,"[""bless"",""god"",""bless"",""god"",""safe"",""proud"",""guide"",""love"",""goodness"",""courage"",""almighty"",""sky"",""child"",""salute"",""enjoy"",""white"",""wisdom"",""heal"",""pride"",""birth"",""prosper"",""spirit"",""action"",""talk"",""action"",""talk"",""finally"",""god"",""united"",""debate"",""unity"",""pleasant"",""good"",""loyalty"",""loyalty"",""united"",""allegiance"",""bedrock"",""completely"",""civilized"",""shine"",""shine"",""understanding"",""goodwill"",""friendship"",""hire"",""labor"",""wonderful"",""build"",""wealth"",""winning"",""winning"",""strength"",""prosperity"",""lead"",""protect"",""benefit"",""forward"",""land"",""govern"",""vision"",""forward"",""wealth"",""horizon"",""confidence"",""strength"",""wealth"",""defend"",""defended"",""allegiance"",""oath"",""oath"",""share"",""success"",""success"",""knowledge"",""beautiful"",""young"",""cash"",""flush"",""public"",""righteous"",""righteous"",""good"",""safe"",""crucial"",""center"",""united"",""celebration"",""land"",""celebrated"",""wealth"",""share"",""giving"",""special"",""ceremony"",""magnificent"",""aid"",""gracious"",""president"",""grateful"",""peaceful"",""orderly"",""job"",""promise"",""effort"",""joined"",""fellow"",""president"",""president"",""president"",""president"",""justice""]","[""words"",""small"",""black"",""forget"",""disease"",""fight"",""challenge"",""enforcement"",""fear"",""prejudice"",""eradicate"",""terrorism"",""fight"",""destroying"",""stealing"",""foreign"",""foreign"",""decay"",""spent"",""foreign"",""pain"",""pain"",""carnage"",""stolen"",""crime"",""poverty"",""serve"",""conviction"",""forgotten"",""forgotten"",""government"",""government"",""bore"",""government"",""small""]",0.05360824742268041
"Obama's Second","Barak Obama","2013",2100,541,0.08095238095238096,0.03142857142857143,"[""united"",""bless"",""bless"",""god"",""freedom"",""precious"",""dedication"",""passion"",""effort"",""joy"",""embrace"",""defense"",""shape"",""hope"",""pride"",""pledge"",""oath"",""soldier"",""oath"",""pledge"",""god"",""oath"",""oath"",""fellow"",""spirit"",""advance"",""knowing"",""knowing"",""debate"",""treat"",""spectacle"",""afford"",""progress"",""happiness"",""precise"",""liberty"",""contour"",""agree"",""real"",""happiness"",""liberty"",""task"",""safe"",""quiet"",""journey"",""young"",""opportunity"",""land"",""hopeful"",""journey"",""vote"",""citizen"",""journey"",""love"",""journey"",""earn"",""journey"",""task"",""freedom"",""freedom"",""king"",""star"",""evident"",""justice"",""dignity"",""opportunity"",""advance"",""constant"",""peace"",""charity"",""hope"",""freedom"",""conscience"",""democracy"",""powerful"",""peaceful"",""greater"",""manage"",""extend"",""anchor"",""courage"",""strength"",""defend"",""peace"",""vigilant"",""knowledge"",""liberty"",""courage"",""tempered"",""peace"",""god"",""preserve"",""treasure"",""vitality"",""promise"",""technology"",""lead"",""powerful"",""overwhelming"",""knowing"",""strengthen"",""job"",""happiness"",""lucky"",""freedom"",""child"",""build"",""dignity"",""citizen"",""real"",""determination"",""effort"",""learn"",""empower"",""reform"",""remake"",""technology"",""god"",""succeed"",""liberate"",""labor"",""honest"",""wages"",""pride"",""independence"",""rising"",""rest"",""prosperity"",""succeed"",""fellow"",""gift"",""endless"",""openness"",""youth"",""possess"",""recovery"",""build"",""action"",""ultimately"",""fidelity"",""celebration"",""authority"",""protect"",""fair"",""determined"",""forward"",""survive"",""equality"",""liberty"",""safe"",""king"",""god"",""gift"",""freedom"",""journey"",""continue"",""happiness"",""liberty"",""endowed"",""allegiance"",""faith"",""democracy"",""promise"",""affirm"",""strength"",""president"",""fellow"",""united"",""justice"",""president""]","[""uncertain"",""ancient"",""words"",""spoke"",""words"",""serve"",""mistake"",""delay"",""government"",""words"",""harm"",""wait"",""forced"",""bound"",""unsung"",""prejudice"",""sick"",""crisis"",""fear"",""suspicion"",""war"",""harm"",""lost"",""battle"",""war"",""cede"",""resist"",""drought"",""raging"",""devastating"",""avoid"",""deny"",""betray"",""failure"",""threat"",""sap"",""storm"",""terrible"",""illness"",""loss"",""disability"",""poverty"",""spent"",""reject"",""deficit"",""tax"",""government"",""inadequate"",""poverty"",""hardship"",""seize"",""seize"",""risk"",""war"",""communism"",""government"",""misfortune"",""competition"",""lash"",""government"",""republic"",""mob"",""tyranny"",""fight"",""words"",""vice""]",0.049523809523809526
"Obama's First","Barak Obama","2009",2403,644,0.08322929671244278,0.03911776945484811,"[""united"",""bless"",""god"",""bless"",""god"",""freedom"",""gift"",""grace"",""horizon"",""journey"",""endure"",""virtue"",""hope"",""survive"",""virtue"",""hope"",""depth"",""revolution"",""outcome"",""birth"",""oath"",""magnificent"",""celebration"",""join"",""faith"",""liberty"",""shape"",""god"",""knowledge"",""confidence"",""promise"",""task"",""giving"",""spirit"",""knowledge"",""progress"",""quiet"",""loyalty"",""curiosity"",""fair"",""courage"",""honesty"",""success"",""finally"",""child"",""nurture"",""willingness"",""courage"",""job"",""friend"",""kindness"",""determination"",""faith"",""ultimately"",""spirit"",""greater"",""willingness"",""spirit"",""liberty"",""honor"",""gratitude"",""humble"",""resources"",""afford"",""enjoy"",""flow"",""clean"",""pledge"",""extend"",""build"",""respect"",""mutual"",""interest"",""mutual"",""forward"",""peace"",""humanity"",""united"",""civil"",""culture"",""strength"",""spirit"",""advance"",""defense"",""apologize"",""peace"",""forge"",""understanding"",""cooperation"",""greater"",""effort"",""greater"",""restraint"",""humility"",""prudent"",""protect"",""sturdy"",""lead"",""dignity"",""peace"",""child"",""friend"",""choice"",""defense"",""good"",""charity"",""opportunity"",""extend"",""ability"",""prosperity"",""success"",""prosperous"",""prosper"",""watchful"",""freedom"",""wealth"",""good"",""question"",""vital"",""reform"",""manage"",""forward"",""dignified"",""retirement"",""afford"",""decent"",""question"",""courage"",""joined"",""achieve"",""question"",""sun"",""rightful"",""electric"",""build"",""growth"",""foundation"",""create"",""swift"",""bold"",""action"",""pick"",""protecting"",""standing"",""remains"",""goods"",""inventive"",""productive"",""powerful"",""prosperous"",""continue"",""journey"",""wealth"",""birth"",""greater"",""concord"",""freedom"",""prosperity"",""labor"",""celebrated"",""fame"",""leisure"",""prefer"",""journey"",""greatness"",""greatness"",""happiness"",""full"",""deserve"",""promise"",""noble"",""gift"",""precious"",""forward"",""spirit"",""reaffirm"",""young"",""unity"",""hope"",""chosen"",""real"",""land"",""confidence"",""strengthen"",""prepare"",""faithful"",""vision"",""oath"",""peace"",""prosperity"",""rising"",""oath"",""cooperation"",""generosity"",""president"",""mindful"",""grateful"",""task"",""humbled"",""fellow""]","[""falter"",""refused"",""words"",""hardship"",""danger"",""words"",""doubt"",""enemy"",""abandoned"",""dying"",""small"",""uncertain"",""calls"",""seize"",""grudgingly"",""force"",""fate"",""storm"",""lose"",""stranger"",""government"",""lie"",""suffering"",""indifference"",""hungry"",""starved"",""wrong"",""deceit"",""corruption"",""blame"",""conflict"",""war"",""weakness"",""defeat"",""broken"",""slaughtering"",""terror"",""waver"",""specter"",""threat"",""lessen"",""leave"",""demand"",""force"",""communism"",""small"",""scarcely"",""reject"",""gross"",""crisis"",""ill"",""force"",""government"",""bad"",""small"",""government"",""stale"",""forgotten"",""tolerate"",""soil"",""lower"",""calls"",""dust"",""unpleasant"",""crisis"",""whip"",""lash"",""rugged"",""childish"",""words"",""worn"",""petty"",""discord"",""conflict"",""fear"",""lower"",""decline"",""fear"",""subject"",""crisis"",""threaten"",""shed"",""lost"",""failure"",""greed"",""weakened"",""badly"",""hatred"",""violence"",""war"",""crisis"",""raging"",""words"",""sacrifices""]",0.04411152725759467
"W. Bush's Second","George W. Bush","2005",2056,569,0.10408560311284047,0.0311284046692607,"[""united"",""bless"",""god"",""freedom"",""liberty"",""young"",""celebration"",""liberty"",""public"",""independence"",""liberty"",""author"",""liberty"",""justice"",""flow"",""hope"",""freedom"",""peaceful"",""liberty"",""hope"",""freedom"",""confidence"",""god"",""chosen"",""freedom"",""triumph"",""confidence"",""forward"",""justice"",""hope"",""good"",""pride"",""unity"",""freedom"",""fellowship"",""unity"",""heal"",""faith"",""good"",""forward"",""freedom"",""birth"",""choice"",""credit"",""freedom"",""advance"",""dedication"",""including"",""freedom"",""worth"",""love"",""surround"",""neighbor"",""independence"",""liberty"",""mercy"",""freedom"",""justice"",""good"",""forward"",""sermon"",""supported"",""conscience"",""integrity"",""interest"",""public"",""freedom"",""prosperous"",""freedom"",""greater"",""fellow"",""citizen"",""savings"",""retirement"",""ownership"",""ownership"",""build"",""highest"",""promise"",""vision"",""extend"",""liberty"",""independence"",""dignity"",""freedom"",""liberty"",""promise"",""determined"",""liberty"",""freedom"",""essential"",""courage"",""idealism"",""wealth"",""choice"",""courage"",""real"",""determined"",""allegiance"",""idealism"",""honor"",""diplomacy"",""intelligence"",""quiet"",""freedom"",""progress"",""hope"",""hope"",""freedom"",""fulfill"",""good"",""granted"",""task"",""patience"",""fellow"",""democracy"",""effort"",""primary"",""counsel"",""friendship"",""honor"",""united"",""justice"",""progress"",""journey"",""learn"",""god"",""deserve"",""freedom"",""liberty"",""united"",""love"",""liberty"",""existence"",""freedom"",""freedom"",""advance"",""liberty"",""freedom"",""justice"",""participation"",""guide"",""dignity"",""decent"",""success"",""reform"",""encourage"",""mercy"",""prefer"",""freedom"",""choice"",""moral"",""choice"",""clarify"",""found"",""chosen"",""protect"",""considerable"",""influence"",""unlimited"",""influence"",""task"",""objective"",""freedom"",""finally"",""defended"",""chosen"",""freedom"",""defend"",""task"",""culture"",""growth"",""united"",""achievement"",""honorable"",""master"",""dignity"",""vital"",""freedom"",""peace"",""hope"",""liberty"",""success"",""land"",""liberty"",""sense"",""freedom"",""tolerant"",""decent"",""reward"",""defended"",""repose"",""quiet"",""standing"",""freedom"",""defended"",""oath"",""fulfill"",""determined"",""mindful"",""honor"",""grateful"",""wisdom"",""durable"",""ceremony"",""marked"",""fellow"",""reverend"",""united"",""president"",""president"",""president"",""justice"",""president""]","[""ancient"",""outrage"",""unjust"",""disaster"",""attack"",""bound"",""abandon"",""lost"",""words"",""fear"",""serve"",""unfinished"",""serve"",""evil"",""fragile"",""fighting"",""dangerous"",""untamed"",""fight"",""abandon"",""defeat"",""serve"",""deny"",""outlaw"",""exile"",""prison"",""repression"",""excuse"",""oppression"",""ignore"",""hopelessness"",""tyranny"",""slavery"",""tyranny"",""doubt"",""servitude"",""humiliation"",""pretend"",""wrong"",""oppression"",""excuse"",""difficulty"",""tyranny"",""government"",""force"",""tyranny"",""urgent"",""slave"",""force"",""pretensions"",""resentment"",""hatred"",""force"",""threat"",""mortal"",""cross"",""destructive"",""excuse"",""hatred"",""resentment"",""communism"",""shipwreck"",""words"",""vice""]",0.07295719844357977
"W. Bush's First","George W. Bush","2001",1579,420,0.09879670677644078,0.038632045598480054,"[""bless"",""god"",""bless"",""god"",""angel"",""dignity"",""affirm"",""generous"",""author"",""dignity"",""courage"",""inauguration"",""angel"",""swift"",""independence"",""present"",""spirit"",""spirit"",""decent"",""generous"",""building"",""responsible"",""neighbor"",""defend"",""comfort"",""good"",""important"",""compassion"",""justice"",""greater"",""courage"",""interest"",""public"",""civility"",""advance"",""lead"",""democracy"",""important"",""love"",""saint"",""freedom"",""decency"",""interest"",""public"",""community"",""fulfillment"",""conscience"",""pledge"",""humanity"",""charity"",""church"",""compassion"",""civil"",""public"",""public"",""hope"",""love"",""god"",""agree"",""promise"",""persistent"",""conscience"",""quiet"",""compassionate"",""birth"",""strength"",""faith"",""defend"",""freedom"",""balance"",""choice"",""engaged"",""remains"",""liberty"",""invite"",""build"",""working"",""effort"",""reward"",""momentum"",""reform"",""young"",""blessing"",""courage"",""inspire"",""good"",""defending"",""courage"",""courageous"",""accomplishment"",""community"",""choice"",""determined"",""civility"",""share"",""idealism"",""knowledge"",""freedom"",""lead"",""peace"",""afford"",""fair"",""respect"",""good"",""civil"",""civility"",""compassion"",""courage"",""civility"",""promise"",""affirm"",""citizen"",""child"",""teach"",""birth"",""united"",""lead"",""confident"",""opportunity"",""justice"",""build"",""pledge"",""unity"",""share"",""birth"",""justice"",""promise"",""prosper"",""humanity"",""hope"",""faith"",""sea"",""rock"",""democracy"",""freedom"",""faith"",""promise"",""promise"",""united"",""defend"",""possess"",""protect"",""freedom"",""friend"",""continue"",""humbled"",""grace"",""spirit"",""president"",""president"",""affirm"",""oath"",""authority"",""peaceful"",""fellow"",""president""]","[""storm"",""whirlwind"",""storm"",""whirlwind"",""battle"",""john"",""wrong"",""government"",""missing"",""serve"",""government"",""small"",""bonds"",""poverty"",""pain"",""government"",""government"",""hopeless"",""diminished"",""suffering"",""abuse"",""abandonment"",""fault"",""risk"",""unworthy"",""poverty"",""bad"",""aggression"",""arrogance"",""mistake"",""horrors"",""destruction"",""challenge"",""weakness"",""challenge"",""apathy"",""ignorance"",""condemn"",""war"",""depression"",""chaos"",""suffer"",""decline"",""lose"",""small"",""small"",""petty"",""bound"",""soil"",""prejudice"",""hidden"",""failing"",""limited"",""doubt"",""raging"",""delayed"",""insignificant"",""fallible"",""servant"",""gore"",""vice""]",0.06016466117796074
"Clinton's Second","Bill Clinton","1997",2159,560,0.08151922186197313,0.031032885595182955,"[""bless"",""ahead"",""good"",""strengthen"",""god"",""freedom"",""perfect"",""promise"",""alive"",""land"",""promise"",""land"",""blessed"",""build"",""hope"",""shape"",""happy"",""grateful"",""patience"",""courage"",""faith"",""fellow"",""journey"",""journey"",""journey"",""gift"",""precious"",""fellow"",""gift"",""precious"",""wisdom"",""advance"",""president"",""pledge"",""join"",""strength"",""pledge"",""effort"",""promise"",""quest"",""quest"",""treat"",""prophet"",""conscience"",""spirit"",""decency"",""strength"",""wealth"",""progress"",""progress"",""important"",""prosperity"",""full"",""forward"",""build"",""fellow"",""participation"",""promise"",""land"",""land"",""majestic"",""bounty"",""productive"",""grandchildren"",""retirement"",""balance"",""promise"",""land"",""lead"",""democracy"",""innovation"",""defense"",""freedom"",""peace"",""mighty"",""laughter"",""job"",""child"",""library"",""information"",""knowledge"",""highest"",""land"",""promise"",""land"",""land"",""promise"",""journey"",""community"",""spirit"",""sense"",""vision"",""task"",""land"",""question"",""hope"",""remarkable"",""fellow"",""democracy"",""spirits"",""culture"",""building"",""encyclopedia"",""forge"",""learn"",""godsend"",""spirit"",""generous"",""constant"",""remains"",""succeed"",""succeed"",""community"",""spirit"",""embrace"",""sense"",""responsible"",""liberty"",""fellow"",""build"",""opportunity"",""real"",""guarantee"",""preeminent"",""real"",""humble"",""advance"",""endure"",""democracy"",""solution"",""solution"",""debate"",""fellow"",""numbers"",""educational"",""thriving"",""building"",""achievement"",""march"",""perfect"",""information"",""shape"",""dawn"",""decency"",""conservation"",""revolution"",""choice"",""coast"",""coast"",""choice"",""dignity"",""opportunity"",""civil"",""revolution"",""justice"",""heavens"",""atom"",""public"",""learning"",""liberty"",""blessings"",""promise"",""triumph"",""bold"",""promise"",""promise"",""land"",""land"",""vision"",""young"",""democracy"",""prospect"",""fortune"",""good"",""inauguration"",""fellow""]","[""cross"",""waste"",""waste"",""wrong"",""small"",""breach"",""deplore"",""bickering"",""petty"",""words"",""spoke"",""forget"",""din"",""threat"",""destruction"",""terror"",""denied"",""shoot"",""boy"",""possession"",""government"",""bloodshed"",""awful"",""avoid"",""dictatorship"",""bonds"",""hostile"",""lurk"",""succumb"",""hate"",""cripple"",""torment"",""terror"",""plague"",""destroyed"",""conviction"",""pretense"",""contempt"",""prejudice"",""curse"",""challenge"",""challenge"",""serve"",""crime"",""government"",""government"",""government"",""government"",""government"",""government"",""government"",""problem"",""government"",""government"",""challenge"",""tragedy"",""touched"",""split"",""war"",""cold"",""tyranny"",""turmoil"",""slavery"",""scourge"",""awful"",""conviction"",""ancient""]",0.05048633626679018
"Clinton's First","Bill Clinton","1993",1584,399,0.07196969696969698,0.029671717171717172,"[""bless"",""god"",""guard"",""celebration"",""joyful"",""faith"",""hope"",""fellow"",""journey"",""heroic"",""unity"",""faith"",""fortunate"",""knowledge"",""tempered"",""revolution"",""truth"",""powerful"",""spirit"",""young"",""idealism"",""young"",""renewal"",""fellow"",""president"",""join"",""authority"",""fellow"",""numbers"",""chorus"",""freedom"",""democracy"",""building"",""rejoice"",""strength"",""diplomacy"",""peaceful"",""community"",""conscience"",""vital"",""shape"",""lead"",""continue"",""stable"",""persistent"",""bold"",""promise"",""advantage"",""reform"",""deserve"",""powerful"",""civilization"",""dawn"",""beautiful"",""democracy"",""opportunity"",""offer"",""provide"",""fairly"",""opportunity"",""bold"",""renewal"",""pledge"",""renewal"",""democracy"",""embrace"",""fellow"",""preserve"",""construct"",""determination"",""civil"",""civil"",""revolution"",""vision"",""task"",""hopeful"",""confidence"",""resources"",""friend"",""lead"",""freedom"",""working"",""friend"",""question"",""powerful"",""peaceful"",""earn"",""ambition"",""magical"",""technology"",""ceremony"",""land"",""oath"",""wages"",""prosperity"",""freedom"",""sunshine"",""president"",""salute"",""music"",""march"",""happiness"",""liberty"",""preserve"",""endure"",""almighty"",""independence"",""courage"",""vision"",""democracy"",""depth"",""ceremony"",""renewal"",""fellow""]","[""weary"",""discipline"",""conviction"",""unfortunate"",""fate"",""challenge"",""torn"",""challenge"",""government"",""forced"",""force"",""seize"",""shrink"",""collapse"",""crisis"",""foreign"",""government"",""government"",""pain"",""worry"",""intrigue"",""government"",""bad"",""demand"",""debt"",""deadlock"",""wrong"",""depression"",""war"",""crime"",""fear"",""small"",""bankrupt"",""enemy"",""urgent"",""shaking"",""competition"",""inequality"",""stagnant"",""weakened"",""ancient"",""war"",""cold"",""communism"",""depression"",""force"",""words""]",0.0422979797979798
"H.W. Bush's First","George H.W. Bush","1989",2310,575,0.070995670995671,0.01904761904761905,"[""united"",""bless"",""god"",""bless"",""god"",""unity"",""stately"",""love"",""endless"",""greater"",""ahead"",""word"",""obvious"",""united"",""greater"",""pope"",""prince"",""president"",""beautiful"",""freedom"",""democracy"",""land"",""sentimental"",""salute"",""fellow"",""democracy"",""vigilance"",""strength"",""good"",""hope"",""strength"",""hope"",""triumph"",""progress"",""closeness"",""continue"",""good"",""compliment"",""vow"",""agreement"",""word"",""faith"",""good"",""good"",""good"",""assistance"",""peace"",""protect"",""vow"",""offer"",""crucial"",""crucial"",""action"",""negotiate"",""working"",""leader"",""majority"",""young"",""young"",""leader"",""majority"",""loyal"",""loyal"",""afford"",""lesson"",""earnest"",""chorus"",""harmony"",""peace"",""united"",""balance"",""cabinet"",""white"",""good"",""community"",""young"",""talent"",""job"",""courage"",""goodness"",""prudent"",""honest"",""money"",""public"",""solution"",""bless"",""guidance"",""love"",""young"",""love"",""moral"",""engaged"",""silk"",""gold"",""lead"",""chosen"",""teach"",""president"",""friendship"",""word"",""child"",""succeed"",""found"",""citizen"",""loving"",""friend"",""loyal"",""sense"",""hope"",""hope"",""nobility"",""good"",""strength"",""love"",""civil"",""decent"",""proud"",""generosity"",""important"",""unity"",""crucial"",""saint"",""hope"",""guide"",""justice"",""talk"",""speech"",""prosperous"",""freedom"",""freedom"",""liberty"",""intellectual"",""moral"",""prosperity"",""freedom"",""democracy"",""action"",""freedom"",""tree"",""freedom"",""prosperous"",""peaceful"",""promise"",""amen"",""lord"",""advance"",""faith"",""peace"",""love"",""heavenly"",""president"",""talk"",""good"",""remains"",""inauguration"",""oath"",""word"",""word"",""wonderful"",""president"",""fellow"",""president"",""president"",""justice""]","[""small"",""fear"",""mistrust"",""scourge"",""hurt"",""bacteria"",""deadly"",""cocaine"",""intolerance"",""kite"",""battle"",""words"",""foreign"",""reluctant"",""partisan"",""war"",""war"",""dissension"",""government"",""war"",""deficit"",""case"",""crime"",""crime"",""enslavement"",""lost"",""homeless"",""government"",""government"",""sick"",""leave"",""force"",""government"",""late"",""wait"",""broken"",""lifeless"",""ancient"",""dictator"",""serve"",""words"",""government"",""dole"",""vice""]",0.05194805194805195
"Reagan's Second","Ronald Reagan","1985",2554,694,0.07948316366483947,0.034064212999216914,"[""bless"",""god"",""bless"",""god"",""hopeful"",""freedom"",""god"",""affection"",""unity"",""continue"",""music"",""tender"",""author"",""god"",""sing"",""fair"",""decent"",""daring"",""hopeful"",""encouragement"",""preserve"",""president"",""forge"",""general"",""democracy"",""standing"",""standing"",""journey"",""continue"",""journey"",""ribbon"",""forward"",""powerful"",""youth"",""mighty"",""forward"",""peace"",""victory"",""freedom"",""victory"",""peace"",""preserve"",""hope"",""ally"",""freedom"",""friend"",""progress"",""dignity"",""inalienable"",""spirit"",""freedom"",""march"",""freedom"",""peace"",""agree"",""render"",""believing"",""morality"",""assured"",""mutual"",""increase"",""peace"",""remains"",""defense"",""restoring"",""progress"",""building"",""freedom"",""dignity"",""vision"",""good"",""freedom"",""peace"",""peace"",""primary"",""task"",""hope"",""forward"",""young"",""opportunity"",""build"",""opportunity"",""abundant"",""dignity"",""intended"",""god"",""brotherhood"",""progress"",""found"",""land"",""young"",""compassion"",""offer"",""community"",""dignity"",""fundamental"",""compassion"",""money"",""protect"",""balanced"",""forward"",""question"",""question"",""cabinet"",""finally"",""unbroken"",""working"",""love"",""courage"",""faith"",""music"",""revolution"",""lead"",""united"",""productive"",""growth"",""freedom"",""spirit"",""liberate"",""peace"",""protect"",""heal"",""achieve"",""boldness"",""earn"",""fair"",""simplify"",""increase"",""savings"",""increase"",""progress"",""core"",""genius"",""freedom"",""growth"",""vindicated"",""working"",""worthy"",""determined"",""god"",""ahead"",""valuable"",""fellow"",""sunset"",""independence"",""create"",""lesson"",""important"",""independence"",""remarkable"",""united"",""freedom"",""revolution"",""greatness"",""fellow"",""freedom"",""liberty"",""supported"",""peace"",""preserve"",""sincere"",""finally"",""faith"",""progress"",""confidence"",""opportunity"",""dignity"",""freedom"",""rest"",""alive"",""robust"",""progress"",""growth"",""orderly"",""freedom"",""strength"",""faith"",""increase"",""productive"",""savings"",""authority"",""master"",""sense"",""accomplished"",""land"",""blessed"",""glory"",""greatness"",""oath"",""aid"",""journey"",""president"",""celebrated"",""honor"",""amen"",""join"",""bless"",""god"",""presence"",""fellow"",""reverend"",""president"",""justice""]","[""struggle"",""darkened"",""lonely"",""cold"",""war"",""oppression"",""poverty"",""inflict"",""poverty"",""destruction"",""threat"",""kill"",""killing"",""threaten"",""kill"",""retaliate"",""destruction"",""threat"",""elimination"",""offensive"",""scorn"",""ancient"",""government"",""black"",""hesitation"",""prejudice"",""hatred"",""government"",""unfortunate"",""unborn"",""infirm"",""infirm"",""dependency"",""government"",""government"",""government"",""unconstitutional"",""servitude"",""tax"",""tax"",""government"",""freezing"",""debt"",""deficit"",""distressed"",""leave"",""hungry"",""sick"",""tax"",""interference"",""government"",""disaster"",""bloated"",""chase"",""futile"",""abuse"",""storm"",""overwhelm"",""threatening"",""difficulties"",""government"",""anger"",""lawyer"",""challenge"",""darkness"",""struggle"",""challenge"",""republic"",""inflation"",""tax"",""unemployed"",""rob"",""inflation"",""government"",""government"",""government"",""servant"",""government"",""spoke"",""backward"",""stress"",""cry"",""untamed"",""words"",""john"",""dole"",""vice""]",0.04541895066562255
"Reagan's First","Ronald Reagan","1981",2428,620,0.08360790774299835,0.03130148270181219,"[""bless"",""god"",""willingness"",""effort"",""kind"",""endure"",""save"",""pledge"",""diary"",""found"",""job"",""young"",""hero"",""monument"",""freedom"",""white"",""heroism"",""dignified"",""pool"",""eloquence"",""independence"",""stately"",""infant"",""victory"",""revolutionary"",""greatness"",""humility"",""monument"",""beauty"",""special"",""magnificent"",""standing"",""ceremony"",""inauguration"",""good"",""fitting"",""intended"",""god"",""god"",""grateful"",""practice"",""courage"",""moral"",""strength"",""knowing"",""prevail"",""strength"",""preserve"",""action"",""forbearance"",""negotiate"",""aspiration"",""highest"",""peace"",""freedom"",""friendship"",""beneficial"",""loyalty"",""loyalty"",""strengthen"",""freedom"",""share"",""freedom"",""hope"",""freedom"",""strength"",""greater"",""land"",""liberty"",""happiness"",""worthy"",""worthy"",""liberty"",""happiness"",""important"",""fellow"",""president"",""independence"",""progress"",""progress"",""balance"",""restoring"",""productivity"",""ahead"",""oath"",""paraphrase"",""provide"",""heal"",""loving"",""love"",""love"",""compassion"",""god"",""land"",""blessed"",""quiet"",""art"",""culture"",""charity"",""church"",""opportunity"",""wealth"",""create"",""faith"",""faith"",""food"",""heroic"",""hope"",""faith"",""strength"",""courage"",""determination"",""renewal"",""creative"",""growth"",""intervention"",""present"",""pay"",""freedom"",""assured"",""dignity"",""freedom"",""greater"",""genius"",""land"",""productivity"",""opportunity"",""provide"",""create"",""granted"",""distinction"",""influence"",""growth"",""granted"",""special"",""peace"",""prosperous"",""strength"",""core"",""fair"",""idealism"",""bounty"",""share"",""productive"",""share"",""opportunity"",""vigorous"",""healthy"",""objective"",""heal"",""teach"",""food"",""interest"",""special"",""interest"",""special"",""pay"",""govern"",""superior"",""elite"",""solution"",""present"",""freedom"",""bastion"",""preserve"",""preserve"",""collectively"",""guarantee"",""trend"",""continue"",""present"",""convenience"",""public"",""productivity"",""full"",""achievement"",""successful"",""labor"",""fair"",""income"",""young"",""thrift"",""united"",""forward"",""degree"",""greater"",""liberty"",""united"",""cooperation"",""gracious"",""fellow"",""president"",""miracle"",""ceremony"",""unique"",""authority"",""orderly"",""fellow"",""reverend"",""president"",""president"",""president"",""justice""]","[""crisis"",""struggle"",""fight"",""war"",""words"",""artillery"",""small"",""chop"",""halfway"",""spoke"",""row"",""row"",""cemetery"",""prey"",""terrorism"",""failure"",""conflict"",""surrender"",""unborn"",""danger"",""struggle"",""tax"",""punitive"",""government"",""government"",""dissolution"",""sick"",""fall"",""words"",""government"",""fall"",""fate"",""fate"",""decline"",""small"",""government"",""intrusion"",""stifle"",""smother"",""government"",""government"",""misunderstanding"",""government"",""government"",""government"",""demand"",""government"",""government"",""runaway"",""terror"",""inflation"",""discrimination"",""neglected"",""government"",""government"",""government"",""problem"",""government"",""problem"",""government"",""crisis"",""suffer"",""bound"",""limited"",""deficit"",""deficit"",""tax"",""tax"",""denied"",""misery"",""shatter"",""suffer"",""affliction"",""republic"",""vice"",""vice""]",0.05230642504118616
